Distance from Lap Line (m),Elevation (m),UTMX,UTMY,LongX,LatY
557.000,205.4781,435685.7898,296127.1137,18.09232869,50.52867365
558.000,205.47,435684.7975,296126.9903,18.09231471,50.52867243
559.000,205.4702,435683.8046,296126.871,18.09230072,50.52867124
560.000,205.4604,435682.8113,296126.7557,18.09228672,50.5286701
561.000,205.4633,435681.8181,296126.6393,18.09227273,50.52866894
562.000,205.4681,435680.825,296126.5219,18.09225873,50.52866778
563.000,205.4613,435679.8313,296126.4098,18.09224473,50.52866666
564.000,205.45,435678.8372,296126.3011,18.09223072,50.52866557
565.000,205.4422,435677.844,296126.1853,18.09221673,50.52866442
566.000,205.4416,435676.8511,296126.0659,18.09220274,50.52866324
567.000,205.4423,435675.8575,296125.9532,18.09218873,50.52866211
568.000,205.4507,435674.8636,296125.8429,18.09217473,50.52866101
569.000,205.44,435673.8695,296125.7344,18.09216072,50.52865993
570.000,205.4444,435672.8754,296125.6263,18.09214671,50.52865885
571.000,205.4299,435671.8811,296125.5198,18.0921327,50.52865778
572.000,205.4166,435670.8867,296125.4135,18.09211868,50.52865671
573.000,205.454,435669.8922,296125.3095,18.09210467,50.52865567
574.000,205.4168,435668.8976,296125.2057,18.09209065,50.52865462
575.000,205.412,435667.903,296125.1015,18.09207663,50.52865358
576.000,205.4389,435666.9085,296124.9972,18.09206262,50.52865253
577.000,205.3802,435665.9136,296124.8956,18.0920486,50.52865151
578.000,205.3578,435664.9188,296124.7942,18.09203458,50.52865049
579.000,205.3932,435663.9236,296124.6965,18.09202055,50.5286495
580.000,205.3858,435662.9283,296124.5992,18.09200652,50.52864851
581.000,205.3817,435661.9326,296124.5069,18.09199249,50.52864757
582.000,205.3795,435660.9369,296124.414,18.09197845,50.52864663
583.000,205.3574,435659.9416,296124.3177,18.09196442,50.52864565
584.000,205.3561,435658.9461,296124.2227,18.09195039,50.52864469
585.000,205.3538,435657.9501,296124.1331,18.09193635,50.52864377
586.000,205.3393,435656.9542,296124.0427,18.09192232,50.52864285
587.000,205.35,435655.9585,296123.9498,18.09190828,50.5286419
588.000,205.3325,435654.9628,296123.8579,18.09189425,50.52864097
589.000,205.3413,435653.9668,296123.7686,18.09188021,50.52864005
